Zip,State,Population
86538,AZ,4172
86556,AZ,1593
71601,AR,23095
71602,AR,15547
71603,AR,36473
71630,AR,7
71631,AR,514
71635,AR,14645
71638,AR,5880
71639,AR,7033
71640,AR,4860
71642,AR,704
71643,AR,3765
71644,AR,3768
71646,AR,5422
71647,AR,2150
71651,AR,301
71652,AR,993
71653,AR,5501
71654,AR,6646
71655,AR,14127
71658,AR,948
71660,AR,1105
71661,AR,560
71662,AR,1228
71663,AR,773
71665,AR,5669
71666,AR,656
71667,AR,5913
71670,AR,739
71671,AR,8828
71674,AR,1003
71675,AR,1293
71676,AR,1267
71677,AR,687
71678,AR,868
71701,AR,22640
71720,AR,1945
71722,AR,546
71725,AR,1255
71726,AR,1416
71730,AR,35308
71740,AR,1888
71742,AR,6001
71743,AR,4180
71744,AR,3505
71745,AR,846
71747,AR,1287
71748,AR,353
71749,AR,1553
71751,AR,1667
71752,AR,2020
71753,AR,16379
71758,AR,514
71759,AR,1765
71762,AR,3554
71763,AR,2005
71764,AR,2906
71765,AR,2738
71766,AR,1272
71767,AR,203
71769,AR,882
71770,AR,2862
71801,AR,15955
71822,AR,8514
71825,AR,831
71826,AR,2623
71827,AR,1364
71828,AR,230
71831,AR,739
71832,AR,7593
71833,AR,2284
71834,AR,1435
71835,AR,1141
71836,AR,2740
71837,AR,5895
71838,AR,925
71839,AR,666
71841,AR,853
71842,AR,2952
71845,AR,2550
71846,AR,2239
71847,AR,658
71851,AR,2732
71852,AR,7625
71853,AR,779
71855,AR,1695
71857,AR,5732
71858,AR,1561
71859,AR,281
71860,AR,3106
71861,AR,1660
71862,AR,821
71864,AR,888
71865,AR,983
71866,AR,950
71901,AR,27402
71909,AR,8268
71913,AR,31048
71921,AR,1569
71922,AR,474
71923,AR,14961
71929,AR,1291
71931,AR,271
71933,AR,1037
71935,AR,2257
71937,AR,1681
71940,AR,1529
71941,AR,748
71942,AR,626
71943,AR,2720
71944,AR,751
71945,AR,1048
71949,AR,931
71950,AR,973
71952,AR,215
71953,AR,12505
71956,AR,1857
71957,AR,3052
71958,AR,3775
71959,AR,400
71960,AR,688
71961,AR,710
71962,AR,985
71964,AR,3215
71965,AR,323
71968,AR,1099
71969,AR,461
71970,AR,350
71971,AR,647
71972,AR,323
71973,AR,1273
72001,AR,494
72002,AR,7984
72003,AR,626
72004,AR,1929
72005,AR,457
72006,AR,3702
72007,AR,1741
72010,AR,5132
72011,AR,6956
72012,AR,7862
72013,AR,1344
72014,AR,518
72015,AR,36525
72016,AR,2001
72017,AR,1348
72020,AR,3546
72021,AR,6313
72022,AR,6065
72023,AR,21197
72024,AR,2904
72025,AR,649
72026,AR,1033
72027,AR,981
72028,AR,1091
72029,AR,3211
72030,AR,1244
72031,AR,4098
72032,AR,43236
72036,AR,1789
72038,AR,132
72039,AR,1605
72040,AR,3446
72041,AR,1854
72042,AR,5320
72044,AR,487
72045,AR,580
72046,AR,5254
72047,AR,500
72048,AR,27
72051,AR,960
72052,AR,618
72055,AR,925
72057,AR,591
72058,AR,5532
72060,AR,582
72061,AR,1026
72063,AR,360
72064,AR,1841
72065,AR,3696
72066,AR,522
72067,AR,1802
72068,AR,786
72069,AR,1417
72070,AR,642
72072,AR,992
72073,AR,851
72076,AR,37428
72079,AR,1682
72080,AR,765
72081,AR,7033
72082,AR,2123
72083,AR,278
72084,AR,769
72086,AR,6733
72087,AR,456
72101,AR,4029
72102,AR,1095
72103,AR,8853
72104,AR,20257
72105,AR,1896
72106,AR,3593
72110,AR,12976
72111,AR,534
72112,AR,13502
72113,AR,4806
72114,AR,15485
72116,AR,29871
72117,AR,12736
72118,AR,26442
72120,AR,15389
72121,AR,1996
72122,AR,484
72125,AR,648
72126,AR,3851
72127,AR,1940
72128,AR,1753
72129,AR,860
72130,AR,74
72131,AR,3043
72132,AR,1888
72133,AR,150
72134,AR,392
72135,AR,1824
72136,AR,576
72137,AR,891
72140,AR,607
72141,AR,1276
72142,AR,1027
72143,AR,22586
72150,AR,9714
72152,AR,615
72153,AR,4841
72156,AR,133
72157,AR,752
72160,AR,11801
72165,AR,616
72166,AR,331
72167,AR,606
72168,AR,2170
72170,AR,507
72173,AR,2492
72175,AR,1021
72176,AR,3503
72179,AR,1924
72181,AR,1264
72182,AR,302
72201,AR,539
72202,AR,11686
72204,AR,33104
72205,AR,25156
72206,AR,27367
72207,AR,25217
72208,AR,458
72209,AR,35211
72210,AR,4426
72211,AR,14006
72212,AR,16183
72301,AR,28720
72310,AR,444
72311,AR,901
72313,AR,1147
72314,AR,505
72315,AR,30944
72320,AR,458
72321,AR,329
72324,AR,1273
72326,AR,3755
72327,AR,1834
72328,AR,514
72329,AR,25
72330,AR,912
72331,AR,5009
72332,AR,2435
72333,AR,1366
72335,AR,17751
72338,AR,34
72339,AR,1852
72340,AR,597
72341,AR,552
72342,AR,9515
72346,AR,859
72347,AR,754
72348,AR,2477
72350,AR,986
72351,AR,980
72354,AR,2023
72355,AR,903
72358,AR,1593
72360,AR,8668
72364,AR,7891
72365,AR,5144
72366,AR,2733
72367,AR,61
72368,AR,1571
72369,AR,918
72370,AR,10119
72372,AR,1371
72373,AR,2437
72374,AR,1466
72376,AR,953
72379,AR,225
72381,AR,0
72384,AR,1308
72386,AR,1230
72390,AR,12265
72392,AR,542
72394,AR,1145
72395,AR,1185
72396,AR,13908
72397,AR,285
72401,AR,53532
72410,AR,725
72411,AR,2527
72412,AR,292
72413,AR,1060
72414,AR,518
72415,AR,1190
72416,AR,3030
72417,AR,1896
72419,AR,2214
72421,AR,628
72422,AR,5469
72424,AR,308
72425,AR,719
72426,AR,832
72428,AR,1330
72429,AR,907
72430,AR,529
72432,AR,5961
72433,AR,3436
72434,AR,889
72435,AR,518
72436,AR,1007
72437,AR,2056
72438,AR,2810
72440,AR,1032
72441,AR,1552
72442,AR,3855
72443,AR,2082
72444,AR,1616
72445,AR,364
72447,AR,2008
72449,AR,420
72450,AR,27704
72453,AR,332
72454,AR,4818
72455,AR,12280
72456,AR,553
72457,AR,646
72458,AR,476
72459,AR,1137
72460,AR,944
72461,AR,3515
72464,AR,227
72465,AR,503
72466,AR,427
72467,AR,544
72469,AR,1078
72470,AR,286
72471,AR,1172
72472,AR,8179
72473,AR,2564
72476,AR,5794
72478,AR,238
72479,AR,1223
72482,AR,349
72501,AR,19976
72512,AR,3088
72513,AR,1433
72515,AR,325
72516,AR,321
72517,AR,548
72519,AR,2019
72520,AR,401
72521,AR,2111
72522,AR,797
72523,AR,1168
72524,AR,205
72526,AR,336
72527,AR,876
72528,AR,348
72529,AR,4523
72530,AR,886
72531,AR,390
72532,AR,1356
72533,AR,346
72534,AR,940
72536,AR,364
72537,AR,301
72538,AR,351
72539,AR,514
72540,AR,226
72542,AR,2473
72543,AR,8709
72544,AR,3441
72546,AR,539
72550,AR,750
72553,AR,413
72554,AR,4075
72555,AR,535
72556,AR,1880
72557,AR,321
72560,AR,5553
72561,AR,1264
72562,AR,1816
72564,AR,674
72565,AR,738
72566,AR,356
72567,AR,772
72568,AR,1790
72569,AR,601
72571,AR,438
72572,AR,379
72573,AR,256
72575,AR,818
72576,AR,2561
72577,AR,743
72578,AR,168
72579,AR,756
72581,AR,768
72583,AR,823
72584,AR,220
72585,AR,89
72587,AR,26
72601,AR,23009
72610,AR,172
72611,AR,780
72612,AR,261
72616,AR,6821
72617,AR,244
72618,AR,236
72619,AR,1967
72623,AR,1031
72624,AR,233
72626,AR,1044
72628,AR,1378
72629,AR,1370
72632,AR,5444
72633,AR,436
72634,AR,2784
72635,AR,3568
72638,AR,5430
72639,AR,950
72640,AR,219
72641,AR,1632
72642,AR,2815
72644,AR,1818
72645,AR,1768
72648,AR,608
72650,AR,2882
72651,AR,408
72653,AR,16131
72655,AR,665
72657,AR,596
72658,AR,1824
72660,AR,956
72661,AR,544
72662,AR,1251
72663,AR,444
