State/Zip,2000 Population
AR71854,34206
AR71855,861
AR71857,6397
AR71858,2643
AR71859,409
AR71860,3210
AR71861,2132
AR71862,815
AR71865,136
AR71866,593
AR718HH,0
AR71901,29544
AR71909,12800
AR71913,37091
AR71921,3255
AR71922,372
AR71923,17189
AR71929,4029
AR71933,1788
AR71935,1029
AR71937,2156
AR71940,1814
AR71941,1933
AR71943,4035
AR71944,870
AR71945,1632
AR71949,665
AR71950,621
AR71952,206
AR71953,14295
AR71956,3015
AR71957,3064
AR71958,2528
AR71959,840
AR71960,1730
AR71961,896
AR71962,816
AR71964,3903
AR71965,251
AR71968,4180
AR71969,377
AR71970,733
AR71971,388
AR71972,216
AR71973,1245
AR719HH,0
AR72001,510
AR72002,12719
AR72003,911
AR72004,1644
AR72005,158
AR72006,3176
AR72007,4755
AR72010,6556
AR72011,2761
AR72012,8890
AR72013,1724
AR72014,90
AR72015,39964
AR72016,3016
AR72017,839
AR72020,4514
AR72021,5470
AR72022,8344
AR72023,25260
AR72024,3751
AR72025,905
AR72026,365
AR72027,1332
AR72029,2272
AR72030,615
AR72031,7333
AR72032,59262
AR72036,1223
AR72038,70
AR72039,1771
AR72040,3188
AR72041,1621
AR72042,5684
AR72043,198
AR72044,807
AR72045,1211
AR72046,5945
AR72047,878
AR72048,121
AR72051,763
AR72053,474
AR72055,992
AR72057,1034
AR72058,12054
AR72060,818
AR72061,107
AR72063,1491
AR72064,2672
AR72065,4567
AR72067,2762
AR72068,350
AR72069,1852
AR72070,1622
AR72072,592
AR72073,1398
AR72074,265
AR72075,254
AR72076,38443
AR72079,377
AR72080,171
AR72081,7330
AR72082,1980
AR72083,258
AR72084,1240
AR72085,132
AR72086,10120
AR72087,1225
AR72088,2606
AR72099,1291
AR720HH,0
AR720XX,3
AR72101,3744
AR72102,2401
AR72103,11489
AR72104,21688
AR72105,90
AR72106,4238
AR72107,352
AR72108,140
AR72110,10690
AR72111,1101
AR72112,11245
AR72113,12315
AR72114,14429
AR72116,20399
AR72117,12465
AR72118,22657
AR72120,27782
AR72121,2458
AR72122,1030
AR72123,489
AR72125,1659
AR72126,3543
AR72127,2018
AR72128,731
AR72129,1344
AR72130,471
AR72131,3690
AR72132,2975
AR72133,23
AR72134,387
AR72135,2646
AR72136,1732
AR72137,1942
AR72139,188
AR72140,350
AR72141,532
AR72142,1737
AR72143,29934
AR72150,10979
AR72152,656
AR72153,2267
AR72156,535
AR72157,1351
AR72160,11382
AR72165,81
AR72166,312
AR72167,1774
AR72168,927
AR72169,218
AR72170,197
AR72173,6337
AR72175,496
AR72176,5364
AR72179,473
AR72180,192
AR72181,41
